name,title,chamber,level,state,party,date_of_birth,birth_year,age,generation,source,generation_short
Maria Cantwell,Senator,Senate,Federal,WA,Democrat,1958-10-13,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Amy Jean Klobuchar,Senator,Senate,Federal,MN,Democrat,1960-05-25,1960,65,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Bernard Sanders,Senator,Senate,Federal,VT,Independent,1941-09-08,1941,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Sheldon Whitehouse,Senator,Senate,Federal,RI,Democrat,1955-10-20,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John A. Barrasso,Senator,Senate,Federal,WY,Republican,1952-07-21,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Roger F. Wicker,Senator,Senate,Federal,MS,Republican,1951-07-05,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Susan M. Collins,Senator,Senate,Federal,ME,Republican,1952-12-07,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Cornyn,Senator,Senate,Federal,TX,Republican,1952-02-02,1952,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Richard J. Durbin,Senator,Senate,Federal,IL,Democrat,1944-11-21,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Lindsey O. Graham,Senator,Senate,Federal,SC,Republican,1955-07-09,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mitch McConnell,Senator,Senate,Federal,KY,Republican,1942-02-20,1942,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Jeff Merkley,Senator,Senate,Federal,OR,Democrat,1956-10-24,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John F. Reed,Senator,Senate,Federal,RI,Democrat,1949-11-12,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
James E. Risch,Senator,Senate,Federal,ID,Republican,1943-05-03,1943,82,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jeanne Shaheen,Senator,Senate,Federal,NH,Democrat,1947-01-28,1947,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mark R. Warner,Senator,Senate,Federal,VA,Democrat,1954-12-15,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Kirsten E. Gillibrand,Senator,Senate,Federal,NY,Democrat,1966-12-09,1966,59,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Christopher Andrew Coons,Senator,Senate,Federal,DE,Democrat,1963-09-09,1963,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Robert B. Aderholt,Representative,House,Federal,AL,Republican,1965-07-22,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Tammy Baldwin,Senator,Senate,Federal,WI,Democrat,1962-02-11,1962,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Michael F. Bennet,Senator,Senate,Federal,CO,Democrat,1964-11-28,1964,61,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Gus M. Bilirakis,Representative,House,Federal,FL,Republican,1963-02-08,1963,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Sanford D. Bishop,Representative,House,Federal,GA,Democrat,1947-02-04,1947,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Marsha W. Blackburn,Senator,Senate,Federal,TN,Republican,1952-06-06,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Richard Blumenthal,Senator,Senate,Federal,CT,Democrat,1946-02-13,1946,80,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Boozman,Senator,Senate,Federal,AR,Republican,1950-12-10,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Vern Buchanan,Representative,House,Federal,FL,Republican,1951-05-08,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Ken S. Calvert,Representative,House,Federal,CA,Republican,1953-06-08,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Shelley Moore Capito,Senator,Senate,Federal,WV,Republican,1953-11-26,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
André Carson,Representative,House,Federal,IN,Democrat,1974-10-16,1974,51,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
John R. Carter,Representative,House,Federal,TX,Republican,1941-11-06,1941,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Bill Cassidy,Senator,Senate,Federal,LA,Republican,1957-09-28,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Kathy Castor,Representative,House,Federal,FL,Democrat,1966-08-20,1966,59,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Judy M. Chu,Representative,House,Federal,CA,Democrat,1953-07-07,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Yvette D. Clarke,Representative,House,Federal,NY,Democrat,1964-11-21,1964,61,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Emanuel Cleaver,Representative,House,Federal,MO,Democrat,1944-10-26,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
James E. Clyburn,Representative,House,Federal,SC,Democrat,1940-07-21,1940,85,Silent Generation,unitedstates.io,Silent (1925-1942)
Steve Cohen,Representative,House,Federal,TN,Democrat,1949-05-24,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tom Cole,Representative,House,Federal,OK,Republican,1949-04-28,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jim Costa,Representative,House,Federal,CA,Democrat,1952-04-13,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Joe Courtney,Representative,House,Federal,CT,Democrat,1953-04-06,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Michael D. Crapo,Senator,Senate,Federal,ID,Republican,1951-05-20,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Eric A. Crawford,Representative,House,Federal,AR,Republican,1966-01-22,1966,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Henry Cuellar,Representative,House,Federal,TX,Democrat,1955-09-19,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Danny K. Davis,Representative,House,Federal,IL,Democrat,1941-09-06,1941,84,Silent Generation,unitedstates.io,Silent (1925-1942)
Diana L. DeGette,Representative,House,Federal,CO,Democrat,1957-07-29,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Rosa L. DeLauro,Representative,House,Federal,CT,Democrat,1943-03-02,1943,82,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Scott DesJarlais,Representative,House,Federal,TN,Republican,1964-02-21,1964,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Mario Diaz-Balart,Representative,House,Federal,FL,Republican,1961-09-25,1961,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Lloyd A. Doggett,Representative,House,Federal,TX,Democrat,1946-10-06,1946,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Charles J. Fleischmann,Representative,House,Federal,TN,Republican,1962-10-11,1962,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Virginia Foxx,Representative,House,Federal,NC,Republican,1943-06-29,1943,82,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Garamendi,Representative,House,Federal,CA,Democrat,1945-01-24,1945,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Paul A. Gosar,Representative,House,Federal,AZ,Republican,1958-11-22,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Charles E. Grassley,Senator,Senate,Federal,IA,Republican,1933-09-17,1933,92,Silent Generation,unitedstates.io,Silent (1925-1942)
Sam B. Graves,Representative,House,Federal,MO,Republican,1963-11-07,1963,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Al Green,Representative,House,Federal,TX,Democrat,1947-09-01,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
H. Morgan Griffith,Representative,House,Federal,VA,Republican,1958-03-15,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Brett Guthrie,Representative,House,Federal,KY,Republican,1964-02-18,1964,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Andy Harris,Representative,House,Federal,MD,Republican,1957-01-25,1957,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Martin Heinrich,Senator,Senate,Federal,NM,Democrat,1971-10-17,1971,54,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
James A. Himes,Representative,House,Federal,CT,Democrat,1966-07-05,1966,59,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Mazie K. Hirono,Senator,Senate,Federal,HI,Democrat,1947-11-03,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Hoeven,Senator,Senate,Federal,ND,Republican,1957-03-13,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Steny H. Hoyer,Representative,House,Federal,MD,Democrat,1939-06-14,1939,86,Silent Generation,unitedstates.io,Silent (1925-1942)
Bill Huizenga,Representative,House,Federal,MI,Republican,1969-01-31,1969,57,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Henry C. Johnson,Representative,House,Federal,GA,Democrat,1954-10-02,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Ron Johnson,Senator,Senate,Federal,WI,Republican,1955-04-08,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jim Jordan,Representative,House,Federal,OH,Republican,1964-02-17,1964,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Marcy Kaptur,Representative,House,Federal,OH,Democrat,1946-06-17,1946,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
William R. Keating,Representative,House,Federal,MA,Democrat,1952-09-06,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mike Kelly,Representative,House,Federal,PA,Republican,1948-05-10,1948,77,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
James Lankford,Senator,Senate,Federal,OK,Republican,1968-03-04,1968,57,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Rick Larsen,Representative,House,Federal,WA,Democrat,1965-06-15,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
John B. Larson,Representative,House,Federal,CT,Democrat,1948-07-22,1948,77,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Robert E. Latta,Representative,House,Federal,OH,Republican,1956-04-18,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mike Lee,Senator,Senate,Federal,UT,Republican,1971-06-04,1971,54,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Zoe Lofgren,Representative,House,Federal,CA,Democrat,1947-12-21,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Frank D. Lucas,Representative,House,Federal,OK,Republican,1960-01-06,1960,66,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Ben Ray Luján,Senator,Senate,Federal,NM,Democrat,1972-06-07,1972,53,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Stephen F. Lynch,Representative,House,Federal,MA,Democrat,1955-03-31,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Edward J. Markey,Senator,Senate,Federal,MA,Democrat,1946-07-11,1946,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Doris O. Matsui,Representative,House,Federal,CA,Democrat,1944-09-25,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Michael T. McCaul,Representative,House,Federal,TX,Republican,1962-01-14,1962,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Tom McClintock,Representative,House,Federal,CA,Republican,1956-07-10,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Betty Louise McCollum,Representative,House,Federal,MN,Democrat,1954-07-12,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
James P. McGovern,Representative,House,Federal,MA,Democrat,1959-11-20,1959,66,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Gregory W. Meeks,Representative,House,Federal,NY,Democrat,1953-09-25,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Gwen Moore,Representative,House,Federal,WI,Democrat,1951-04-18,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jerry Moran,Senator,Senate,Federal,KS,Republican,1954-05-29,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Lisa A. Murkowski,Senator,Senate,Federal,AK,Republican,1957-05-22,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Christopher S. Murphy,Senator,Senate,Federal,CT,Democrat,1973-08-03,1973,52,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Patty Murray,Senator,Senate,Federal,WA,Democrat,1950-10-11,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jerrold L. Nadler,Representative,House,Federal,NY,Democrat,1947-06-13,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Richard E. Neal,Representative,House,Federal,MA,Democrat,1949-02-14,1949,77,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Eleanor Holmes Norton,Representative,House,Federal,DC,Democrat,1937-06-13,1937,88,Silent Generation,unitedstates.io,Silent (1925-1942)
Frank J. Pallone,Representative,House,Federal,NJ,Democrat,1951-10-30,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Rand Paul,Senator,Senate,Federal,KY,Republican,1963-01-07,1963,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Nancy Pelosi,Representative,House,Federal,CA,Democrat,1940-03-26,1940,85,Silent Generation,unitedstates.io,Silent (1925-1942)
Gary C. Peters,Senator,Senate,Federal,MI,Democrat,1958-12-01,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Chellie Pingree,Representative,House,Federal,ME,Democrat,1955-04-02,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mike Quigley,Representative,House,Federal,IL,Democrat,1958-10-17,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Harold Rogers,Representative,House,Federal,KY,Republican,1937-12-31,1937,88,Silent Generation,unitedstates.io,Silent (1925-1942)
Mike Rogers,Representative,House,Federal,AL,Republican,1958-07-16,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Steve Joseph Scalise,Representative,House,Federal,LA,Republican,1965-10-06,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Janice D. Schakowsky,Representative,House,Federal,IL,Democrat,1944-05-26,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Adam B. Schiff,Senator,Senate,Federal,CA,Democrat,1960-06-22,1960,65,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Charles E. Schumer,Senator,Senate,Federal,NY,Democrat,1950-11-23,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
David Schweikert,Representative,House,Federal,AZ,Republican,1962-03-03,1962,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Austin Scott,Representative,House,Federal,GA,Republican,1969-12-10,1969,56,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
David Scott,Representative,House,Federal,GA,Democrat,1945-06-27,1945,80,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Robert C. Scott,Representative,House,Federal,VA,Democrat,1947-04-30,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tim Scott,Senator,Senate,Federal,SC,Republican,1965-09-19,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Terri A. Sewell,Representative,House,Federal,AL,Democrat,1965-01-01,1965,61,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Brad J. Sherman,Representative,House,Federal,CA,Democrat,1954-10-24,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Michael K. Simpson,Representative,House,Federal,ID,Republican,1950-09-08,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Adam Smith,Representative,House,Federal,WA,Democrat,1965-06-15,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Adrian Smith,Representative,House,Federal,NE,Republican,1970-12-19,1970,55,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Christopher H. Smith,Representative,House,Federal,NJ,Republican,1953-03-04,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Linda T. Sánchez,Representative,House,Federal,CA,Democrat,1969-01-28,1969,57,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Bennie G. Thompson,Representative,House,Federal,MS,Democrat,1948-01-28,1948,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mike Michael Thompson,Representative,House,Federal,CA,Democrat,1951-01-24,1951,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Glenn Thompson,Representative,House,Federal,PA,Republican,1959-07-27,1959,66,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
John Thune,Senator,Senate,Federal,SD,Republican,1961-01-07,1961,65,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Paul Tonko,Representative,House,Federal,NY,Democrat,1949-06-18,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Michael R. Turner,Representative,House,Federal,OH,Republican,1960-01-11,1960,66,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Chris Van Hollen,Senator,Senate,Federal,MD,Democrat,1959-01-10,1959,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Nydia M. Velázquez,Representative,House,Federal,NY,Democrat,1953-03-28,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tim Walberg,Representative,House,Federal,MI,Republican,1951-04-12,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Debbie Wasserman Schultz,Representative,House,Federal,FL,Democrat,1966-09-27,1966,59,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Maxine Waters,Representative,House,Federal,CA,Democrat,1938-08-15,1938,87,Silent Generation,unitedstates.io,Silent (1925-1942)
Daniel Webster,Representative,House,Federal,FL,Republican,1949-04-27,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Peter Welch,Senator,Senate,Federal,VT,Democrat,1947-05-02,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Joe G. Wilson,Representative,House,Federal,SC,Republican,1947-07-31,1947,78,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Frederica S. Wilson,Representative,House,Federal,FL,Democrat,1942-11-05,1942,83,Silent Generation,unitedstates.io,Silent (1925-1942)
Robert J. Wittman,Representative,House,Federal,VA,Republican,1959-02-03,1959,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Steve Womack,Representative,House,Federal,AR,Republican,1957-02-18,1957,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Ron Wyden,Senator,Senate,Federal,OR,Democrat,1949-05-03,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Todd C. Young,Senator,Senate,Federal,IN,Republican,1972-08-24,1972,53,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Mark E. Amodei,Representative,House,Federal,NV,Republican,1958-06-12,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Suzanne Bonamici,Representative,House,Federal,OR,Democrat,1954-10-14,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Suzan K. DelBene,Representative,House,Federal,WA,Democrat,1962-02-17,1962,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Thomas Massie,Representative,House,Federal,KY,Republican,1971-01-13,1971,55,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Brian Emanuel Schatz,Senator,Senate,Federal,HI,Democrat,1972-10-20,1972,53,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Bill Foster,Representative,House,Federal,IL,Democrat,1955-10-07,1955,70,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Dina Titus,Representative,House,Federal,NV,Democrat,1950-05-23,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tom Cotton,Senator,Senate,Federal,AR,Republican,1977-05-13,1977,48,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Jared Huffman,Representative,House,Federal,CA,Democrat,1964-02-18,1964,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Ami Bera,Representative,House,Federal,CA,Democrat,1965-03-02,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Eric Swalwell,Representative,House,Federal,CA,Democrat,1980-11-16,1980,45,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Julia Brownley,Representative,House,Federal,CA,Democrat,1952-08-28,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Raul Ruiz,Representative,House,Federal,CA,Democrat,1972-08-25,1972,53,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Mark Takano,Representative,House,Federal,CA,Democrat,1960-12-10,1960,65,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Juan Vargas,Representative,House,Federal,CA,Democrat,1961-03-07,1961,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Scott H. Peters,Representative,House,Federal,CA,Democrat,1958-06-17,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Lois Frankel,Representative,House,Federal,FL,Democrat,1948-05-16,1948,77,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tammy Duckworth,Senator,Senate,Federal,IL,Democrat,1968-03-12,1968,57,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Garland Barr,Representative,House,Federal,KY,Republican,1973-07-24,1973,52,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Elizabeth Warren,Senator,Senate,Federal,MA,Democrat,1949-06-22,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Angus S. King,Senator,Senate,Federal,ME,Independent,1944-03-31,1944,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Ann Wagner,Representative,House,Federal,MO,Republican,1962-09-13,1962,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Steve Daines,Senator,Senate,Federal,MT,Republican,1962-08-20,1962,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Richard Hudson,Representative,House,Federal,NC,Republican,1971-11-04,1971,54,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Kevin Cramer,Senator,Senate,Federal,ND,Republican,1961-01-21,1961,65,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Deb Fischer,Senator,Senate,Federal,NE,Republican,1951-03-01,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Grace Meng,Representative,House,Federal,NY,Democrat,1975-10-01,1975,50,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Hakeem S. Jeffries,Representative,House,Federal,NY,Democrat,1970-08-04,1970,55,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Joyce Beatty,Representative,House,Federal,OH,Democrat,1950-03-12,1950,75,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
David P. Joyce,Representative,House,Federal,OH,Republican,1957-03-17,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Markwayne Mullin,Senator,Senate,Federal,OK,Republican,1977-07-26,1977,48,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Scott Perry,Representative,House,Federal,PA,Republican,1962-05-27,1962,63,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Ted Cruz,Senator,Senate,Federal,TX,Republican,1970-12-22,1970,55,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Randy K. Weber,Representative,House,Federal,TX,Republican,1953-07-02,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Joaquin Castro,Representative,House,Federal,TX,Democrat,1974-09-16,1974,51,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Roger Williams,Representative,House,Federal,TX,Republican,1949-09-13,1949,76,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Marc A. Veasey,Representative,House,Federal,TX,Democrat,1971-01-03,1971,55,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Timothy Kaine,Senator,Senate,Federal,VA,Democrat,1958-02-26,1958,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mark Pocan,Representative,House,Federal,WI,Democrat,1964-08-14,1964,61,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Robin L. Kelly,Representative,House,Federal,IL,Democrat,1956-04-30,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Jason T. Smith,Representative,House,Federal,MO,Republican,1980-06-16,1980,45,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Cory Anthony Booker,Senator,Senate,Federal,NJ,Democrat,1969-04-27,1969,56,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Katherine M. Clark,Representative,House,Federal,MA,Democrat,1963-07-17,1963,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Donald W. Norcross,Representative,House,Federal,NJ,Democrat,1958-12-13,1958,67,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Alma S. Adams,Representative,House,Federal,NC,Democrat,1946-05-27,1946,79,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Gary J. Palmer,Representative,House,Federal,AL,Republican,1954-05-14,1954,71,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
J. French Hill,Representative,House,Federal,AR,Republican,1956-12-05,1956,69,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Bruce Westerman,Representative,House,Federal,AR,Republican,1967-11-18,1967,58,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Ruben Gallego,Senator,Senate,Federal,AZ,Democrat,1979-11-20,1979,46,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Mark DeSaulnier,Representative,House,Federal,CA,Democrat,1952-03-31,1952,73,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Pete Aguilar,Representative,House,Federal,CA,Democrat,1979-06-19,1979,46,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Ted Lieu,Representative,House,Federal,CA,Democrat,1969-03-29,1969,56,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Norma J. Torres,Representative,House,Federal,CA,Democrat,1965-04-04,1965,60,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Earl L. Carter,Representative,House,Federal,GA,Republican,1957-09-06,1957,68,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Barry Loudermilk,Representative,House,Federal,GA,Republican,1963-12-22,1963,62,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Rick W. Allen,Representative,House,Federal,GA,Republican,1951-11-07,1951,74,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Mike Bost,Representative,House,Federal,IL,Republican,1960-12-30,1960,65,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Seth Moulton,Representative,House,Federal,MA,Democrat,1978-10-24,1978,47,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
John R. Moolenaar,Representative,House,Federal,MI,Republican,1961-05-08,1961,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Debbie Dingell,Representative,House,Federal,MI,Democrat,1953-11-23,1953,72,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Tom Emmer,Representative,House,Federal,MN,Republican,1961-03-03,1961,64,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
David Rouzer,Representative,House,Federal,NC,Republican,1972-02-16,1972,54,Gen X (13ers),unitedstates.io,Gen X (1961-1981)
Bonnie Watson Coleman,Representative,House,Federal,NJ,Democrat,1945-02-06,1945,81,Baby Boom Generation,unitedstates.io,Boomer (1943-1960)
Elise M. Stefanik,Representative,House,Federal,NY,Republican,1984-07-02,1984,41,Millennial Generation,unitedstates.io,Millennial (1982-2005)
